nodeid,voltage,current,power,energy,pf,frequency,relay,timestamp_ist
NODE_3,221,0.396,76,17.497,0.87,50,ON,'2025-12-10 16:00:49
NODE_3,219.9,0.393,75.1,17.497,0.87,50.1,ON,'2025-12-10 16:00:59
NODE_3,220.7,0.404,77.7,17.498,0.87,50,ON,'2025-12-10 16:01:21
NODE_3,220.7,0.393,75.4,17.499,0.87,50.1,ON,'2025-12-10 16:02:14
NODE_3,221.4,0.394,75.9,17.499,0.87,50.1,ON,'2025-12-10 16:02:24
NODE_3,220.7,0.392,75.2,17.499,0.87,50.1,ON,'2025-12-10 16:02:39
NODE_3,221.5,0.393,75.8,17.5,0.87,50.1,ON,'2025-12-10 16:02:50
NODE_3,222,0.394,76.1,17.5,0.87,50.1,ON,'2025-12-10 16:03:01
NODE_3,220.7,0.391,75,17.5,0.87,50.1,ON,'2025-12-10 16:03:11
NODE_3,221.1,0.391,75.3,17.5,0.87,50.1,ON,'2025-12-10 16:03:23
NODE_3,221.9,0.394,76.2,17.5,0.87,50.1,ON,'2025-12-10 16:03:34
NODE_3,220.6,0.39,74.9,17.501,0.87,50,ON,'2025-12-10 16:03:45
NODE_3,221.6,0.392,75.8,17.501,0.87,50.1,ON,'2025-12-10 16:03:55
NODE_3,220.7,0.39,75,17.501,0.87,50.1,ON,'2025-12-10 16:04:06
NODE_3,220.3,0.389,74.7,17.501,0.87,50,OFF,'2025-12-10 16:04:17
NODE_3,220.5,0.408,78.8,17.501,0.88,50,ON,'2025-12-10 16:04:49
NODE_3,220.7,0.391,75.1,17.502,0.87,50,ON,'2025-12-10 16:04:59
NODE_3,220.9,0.39,75,17.502,0.87,50,ON,'2025-12-10 16:05:09
NODE_3,221.5,0.391,75.6,17.502,0.87,50,ON,'2025-12-10 16:05:20
NODE_3,221.5,0.392,75.6,17.502,0.87,50,ON,'2025-12-10 16:05:31
NODE_3,220.6,0.39,74.8,17.502,0.87,50,ON,'2025-12-10 16:05:42
NODE_3,220.8,0.39,75,17.503,0.87,50,ON,'2025-12-10 16:05:53
NODE_3,220.8,0.389,74.9,17.503,0.87,50,ON,'2025-12-10 16:06:04
NODE_3,221.1,0.39,75.1,17.503,0.87,50,ON,'2025-12-10 16:06:14
NODE_3,220,0.388,74.2,17.503,0.87,50,ON,'2025-12-10 16:06:25
NODE_3,220,0.388,74.4,17.504,0.87,50,ON,'2025-12-10 16:06:35
NODE_3,221.2,0.39,75.1,17.504,0.87,50,ON,'2025-12-10 16:06:47
NODE_3,221.2,0.39,75.2,17.504,0.87,50,ON,'2025-12-10 16:06:57
NODE_3,221.3,0.39,75.3,17.504,0.87,50,ON,'2025-12-10 16:07:09
NODE_3,220.7,0.388,74.7,17.505,0.87,50,ON,'2025-12-10 16:07:19
NODE_3,220.3,0.387,74.4,17.505,0.87,50,ON,'2025-12-10 16:07:30
NODE_3,220.8,0.389,74.8,17.505,0.87,50,ON,'2025-12-10 16:07:41
NODE_3,221.4,0.389,75.2,17.505,0.87,50,ON,'2025-12-10 16:07:52
NODE_3,221.2,0.389,75,17.505,0.87,50,ON,'2025-12-10 16:08:03
NODE_3,221.3,0.389,75,17.506,0.87,50,ON,'2025-12-10 16:08:13
NODE_3,221.1,0.389,75,17.506,0.87,50,ON,'2025-12-10 16:08:23
NODE_3,220.2,0.386,74.2,17.506,0.87,49.9,ON,'2025-12-10 16:08:34
NODE_3,221,0.388,74.8,17.506,0.87,49.9,ON,'2025-12-10 16:08:44
NODE_3,220.7,0.387,74.5,17.507,0.87,49.9,ON,'2025-12-10 16:08:54
NODE_3,220.6,0.387,74.4,17.507,0.87,49.9,ON,'2025-12-10 16:09:05
NODE_3,221.2,0.388,74.8,17.507,0.87,49.9,ON,'2025-12-10 16:09:15
NODE_3,219.9,0.422,92.4,17.507,1,49.9,ON,'2025-12-10 16:09:26
NODE_3,220.8,0.423,92.9,17.507,0.99,49.9,ON,'2025-12-10 16:09:37
NODE_3,219.6,0.42,91.9,17.508,1,49.9,ON,'2025-12-10 16:09:47
NODE_3,220.9,0.422,92.9,17.508,1,50,ON,'2025-12-10 16:09:58
NODE_3,219.7,0.42,91.8,17.508,0.99,49.9,ON,'2025-12-10 16:10:09
NODE_3,220.5,0.421,92.5,17.509,1,49.9,ON,'2025-12-10 16:10:20
NODE_3,220.6,0.421,92.6,17.509,1,49.9,ON,'2025-12-10 16:10:31
NODE_3,219.9,0.419,91.9,17.509,1,49.9,ON,'2025-12-10 16:10:41
NODE_3,220.8,0.421,92.5,17.509,1,49.9,ON,'2025-12-10 16:10:52
NODE_3,219.4,0.418,91.5,17.51,1,49.9,ON,'2025-12-10 16:11:02
NODE_3,219.7,0.419,91.6,17.51,1,49.9,ON,'2025-12-10 16:11:12
NODE_3,220.3,0.419,92,17.51,1,49.9,ON,'2025-12-10 16:11:22
NODE_3,220.5,0.42,92.3,17.51,1,49.9,ON,'2025-12-10 16:11:33
NODE_3,220.2,0.419,91.9,17.511,1,49.9,ON,'2025-12-10 16:11:44
NODE_3,220.4,0.419,92.1,17.511,1,49.9,ON,'2025-12-10 16:11:54
NODE_3,219.9,0.418,91.7,17.511,1,49.9,ON,'2025-12-10 16:12:04
NODE_3,219.8,0.418,91.6,17.512,1,49.9,ON,'2025-12-10 16:12:14
NODE_3,219.6,0.417,91.3,17.512,1,49.9,ON,'2025-12-10 16:12:25
NODE_3,219.5,0.417,91.3,17.512,1,49.9,ON,'2025-12-10 16:12:35
NODE_3,219.1,0.417,90.9,17.512,0.99,49.9,ON,'2025-12-10 16:12:45
NODE_3,219.2,0.417,91,17.513,1,49.9,ON,'2025-12-10 16:12:55
NODE_3,219.5,0.417,91.3,17.513,1,49.9,ON,'2025-12-10 16:13:06
NODE_3,220.1,0.419,91.8,17.513,1,49.9,ON,'2025-12-10 16:13:17
NODE_3,220.6,0.419,92.1,17.513,1,49.9,ON,'2025-12-10 16:13:27
NODE_3,220,0.418,91.7,17.514,1,49.9,ON,'2025-12-10 16:13:38
NODE_3,219.2,0.416,90.9,17.514,1,49.9,ON,'2025-12-10 16:13:49
NODE_3,220,0.418,91.5,17.514,0.99,49.9,ON,'2025-12-10 16:14:00
NODE_3,220.1,0.418,91.7,17.515,1,49.9,ON,'2025-12-10 16:14:10
NODE_3,219.5,0.417,91.2,17.515,1,49.9,ON,'2025-12-10 16:14:21
NODE_3,219.3,0.416,91,17.515,1,49.9,ON,'2025-12-10 16:14:32
NODE_3,220.3,0.418,91.8,17.515,1,49.9,ON,'2025-12-10 16:14:43
NODE_3,219.5,0.416,91.1,17.516,1,50,ON,'2025-12-10 16:14:53
NODE_3,219.5,0.416,91.1,17.516,1,50,ON,'2025-12-10 16:15:04
NODE_3,220,0.417,91.4,17.516,1,50,ON,'2025-12-10 16:15:15
NODE_3,221.3,0.42,92.6,17.516,1,50,ON,'2025-12-10 16:15:25
NODE_3,220.3,0.418,91.8,17.517,1,50,ON,'2025-12-10 16:15:37
NODE_3,221.4,0.42,92.6,17.517,1,50,ON,'2025-12-10 16:15:47
NODE_3,220.3,0.418,91.7,17.517,1,50,ON,'2025-12-10 16:15:57
NODE_3,220.6,0.418,91.9,17.518,1,50,ON,'2025-12-10 16:16:07
NODE_3,221.5,0.42,92.7,17.518,1,50,ON,'2025-12-10 16:16:17
NODE_3,220.4,0.417,91.7,17.518,1,50,ON,'2025-12-10 16:16:28
NODE_3,221.3,0.419,92.5,17.518,1,50,ON,'2025-12-10 16:16:39
NODE_3,220.7,0.418,91.9,17.519,1,50,ON,'2025-12-10 16:16:49
NODE_3,220.7,0.418,91.9,17.519,1,50,ON,'2025-12-10 16:16:59
NODE_3,221.4,0.42,92.6,17.519,1,50,ON,'2025-12-10 16:17:09
NODE_3,220.5,0.417,91.7,17.519,1,50,ON,'2025-12-10 16:17:19
NODE_3,221.1,0.419,92.3,17.52,1,50,ON,'2025-12-10 16:17:30
NODE_3,220.8,0.418,92,17.52,1,50,ON,'2025-12-10 16:17:40
NODE_3,221.3,0.419,92.4,17.52,1,50,ON,'2025-12-10 16:17:50
NODE_3,220.9,0.418,92,17.52,1,50,ON,'2025-12-10 16:18:01
NODE_3,220.9,0.418,92,17.521,1,50,ON,'2025-12-10 16:18:11
NODE_3,220.6,0.417,91.7,17.521,1,50,ON,'2025-12-10 16:18:21
NODE_3,221.4,0.419,92.5,17.521,1,50,ON,'2025-12-10 16:18:31
NODE_3,220.3,0.417,91.6,17.521,1,50,ON,'2025-12-10 16:18:41
NODE_3,220,0.416,91.3,17.522,1,50,ON,'2025-12-10 16:18:52
NODE_3,219.8,0.416,91.1,17.522,1,49.9,ON,'2025-12-10 16:19:02
NODE_3,220.5,0.417,91.7,17.522,1,50,ON,'2025-12-10 16:19:12
NODE_3,220.7,0.418,91.9,17.523,1,49.9,ON,'2025-12-10 16:19:23
NODE_3,220,0.416,91.3,17.523,1,49.9,ON,'2025-12-10 16:19:33
NODE_3,220.9,0.418,92,17.523,1,50,ON,'2025-12-10 16:19:43
NODE_3,220.4,0.416,91.5,17.523,1,49.9,ON,'2025-12-10 16:19:54
NODE_3,220,0.416,91.2,17.523,1,49.9,ON,'2025-12-10 16:20:04
NODE_3,219.4,0.414,90.6,17.524,1,49.9,ON,'2025-12-10 16:20:15
NODE_3,220,0.416,91.1,17.524,1,49.9,ON,'2025-12-10 16:20:25
NODE_3,219.8,0.415,90.9,17.524,1,49.9,ON,'2025-12-10 16:20:35
NODE_3,219,0.414,90.3,17.525,1,49.9,ON,'2025-12-10 16:20:46
NODE_3,219.1,0.414,90.4,17.525,1,49.9,ON,'2025-12-10 16:20:56
NODE_3,219.7,0.415,90.8,17.525,1,49.9,ON,'2025-12-10 16:21:07
NODE_3,220.2,0.416,91.2,17.525,1,49.9,ON,'2025-12-10 16:21:17
NODE_3,219.1,0.414,90.3,17.526,1,49.9,ON,'2025-12-10 16:21:27
NODE_3,220.2,0.415,91.2,17.526,1,49.9,ON,'2025-12-10 16:21:37
NODE_3,218.5,0.412,89.8,17.526,1,49.9,ON,'2025-12-10 16:21:48
NODE_3,219.3,0.414,90.5,17.526,1,49.9,ON,'2025-12-10 16:21:58
NODE_3,219.8,0.415,90.9,17.527,1,49.9,ON,'2025-12-10 16:22:08
NODE_3,219.8,0.415,90.9,17.527,1,49.9,ON,'2025-12-10 16:22:20
NODE_3,220,0.415,91.1,17.527,1,49.9,ON,'2025-12-10 16:22:31
NODE_3,219.9,0.415,90.9,17.528,1,49.9,ON,'2025-12-10 16:22:41
NODE_3,219.6,0.414,90.7,17.528,1,49.9,ON,'2025-12-10 16:22:51
NODE_3,219.4,0.413,90.4,17.528,1,49.9,ON,'2025-12-10 16:23:02
NODE_3,219.3,0.413,90.4,17.528,1,49.9,ON,'2025-12-10 16:23:12
NODE_3,219,0.413,90.1,17.528,1,49.9,ON,'2025-12-10 16:23:22
NODE_3,219.1,0.413,90.2,17.529,1,49.9,ON,'2025-12-10 16:23:32
NODE_3,218.7,0.412,89.9,17.529,1,49.8,ON,'2025-12-10 16:23:42
NODE_3,219.2,0.413,90.3,17.529,1,49.9,ON,'2025-12-10 16:23:52
NODE_3,219.5,0.414,90.6,17.53,1,49.9,ON,'2025-12-10 16:24:02
NODE_3,219.4,0.414,90.5,17.53,1,49.9,ON,'2025-12-10 16:24:12
NODE_3,219.2,0.413,90.2,17.53,1,49.9,ON,'2025-12-10 16:24:22
NODE_3,219.2,0.413,90.3,17.53,1,49.9,ON,'2025-12-10 16:24:32
NODE_3,219.1,0.413,90.1,17.531,1,49.9,ON,'2025-12-10 16:24:42
NODE_3,219,0.412,90,17.531,1,49.9,ON,'2025-12-10 16:24:52
NODE_3,219.3,0.413,90.3,17.531,1,49.9,ON,'2025-12-10 16:25:02
NODE_3,219.1,0.413,90.1,17.531,1,49.9,ON,'2025-12-10 16:25:13
NODE_3,218.7,0.412,89.8,17.532,1,49.9,ON,'2025-12-10 16:25:23
NODE_3,218.7,0.412,89.8,17.532,1,49.9,ON,'2025-12-10 16:25:33
NODE_3,219,0.412,89.9,17.532,1,49.9,ON,'2025-12-10 16:25:44
NODE_3,219.8,0.414,90.7,17.532,1,49.8,ON,'2025-12-10 16:25:55
NODE_3,219.1,0.413,90.1,17.533,1,49.8,ON,'2025-12-10 16:26:05
NODE_3,218.6,0.412,89.7,17.533,1,49.9,ON,'2025-12-10 16:26:16
NODE_3,219.4,0.414,90.5,17.533,1,49.8,ON,'2025-12-10 16:26:26
NODE_3,218.8,0.412,89.9,17.533,1,49.8,ON,'2025-12-10 16:26:37
NODE_3,218.5,0.411,89.6,17.534,1,49.8,ON,'2025-12-10 16:26:47
NODE_3,219.8,0.414,90.8,17.534,1,49.8,ON,'2025-12-10 16:26:57
NODE_3,219.8,0.414,90.7,17.534,1,49.9,ON,'2025-12-10 16:27:07
NODE_3,219.7,0.414,90.6,17.534,1,49.9,ON,'2025-12-10 16:27:18
NODE_3,219.9,0.414,90.9,17.535,1,49.9,ON,'2025-12-10 16:27:28
NODE_3,219.7,0.414,90.6,17.535,1,49.9,ON,'2025-12-10 16:27:39
NODE_3,220.1,0.414,90.9,17.535,1,49.9,ON,'2025-12-10 16:27:49
NODE_3,219.8,0.414,90.7,17.536,1,49.9,ON,'2025-12-10 16:27:59
NODE_3,219.2,0.413,90.2,17.536,1,49.9,ON,'2025-12-10 16:28:09
NODE_3,218.8,0.412,89.9,17.536,1,49.9,ON,'2025-12-10 16:28:21
NODE_3,219.6,0.414,90.6,17.536,1,49.9,ON,'2025-12-10 16:28:31
NODE_3,219.2,0.413,90.2,17.537,1,49.9,ON,'2025-12-10 16:28:42
NODE_3,219.3,0.413,90.2,17.537,1,49.9,ON,'2025-12-10 16:28:52
NODE_3,218.8,0.412,89.8,17.537,1,49.9,ON,'2025-12-10 16:29:03
NODE_3,220,0.414,90.8,17.537,1,50,ON,'2025-12-10 16:29:13
NODE_3,219.8,0.414,90.7,17.538,1,50,ON,'2025-12-10 16:29:23
NODE_3,219.7,0.414,90.6,17.538,1,50,ON,'2025-12-10 16:29:33
NODE_3,220.3,0.415,91.1,17.538,1,50,ON,'2025-12-10 16:29:43
NODE_3,220.2,0.415,91.1,17.538,1,50,ON,'2025-12-10 16:29:55
NODE_3,219.5,0.413,90.5,17.539,1,50,ON,'2025-12-10 16:30:05
NODE_3,220,0.414,90.8,17.539,1,50,ON,'2025-12-10 16:30:16
NODE_3,219.7,0.414,90.6,17.539,1,50,ON,'2025-12-10 16:30:27
NODE_3,220.2,0.414,90.9,17.539,1,50,ON,'2025-12-10 16:30:37
NODE_3,220.7,0.415,91.4,17.54,1,50,ON,'2025-12-10 16:30:48
NODE_3,220.9,0.416,91.6,17.54,1,50,ON,'2025-12-10 16:30:59
NODE_3,220.5,0.415,91.3,17.54,1,50,ON,'2025-12-10 16:31:09
NODE_3,220.4,0.415,91.1,17.541,1,50.1,ON,'2025-12-10 16:31:19
NODE_3,220.2,0.414,91,17.541,1,50.1,ON,'2025-12-10 16:31:29
NODE_3,219.8,0.414,90.6,17.541,1,50.1,ON,'2025-12-10 16:31:40
NODE_3,221.3,0.417,92,17.541,1,50,ON,'2025-12-10 16:31:50
NODE_3,220.5,0.416,91.4,17.542,1,50.1,ON,'2025-12-10 16:32:00
NODE_3,220.2,0.415,91,17.542,1,50,ON,'2025-12-10 16:32:11
NODE_3,221.2,0.417,91.9,17.542,1,50,ON,'2025-12-10 16:32:21
NODE_3,221.2,0.417,91.9,17.542,1,50,ON,'2025-12-10 16:32:31
NODE_3,220.1,0.415,91,17.543,1,50.1,ON,'2025-12-10 16:32:41
NODE_3,220.2,0.414,91,17.543,1,50,ON,'2025-12-10 16:32:52
NODE_3,220.8,0.416,91.5,17.543,1,50,ON,'2025-12-10 16:33:03
NODE_3,220.6,0.415,91.2,17.543,1,50,ON,'2025-12-10 16:33:13
NODE_3,220.4,0.415,91.1,17.544,1,50,ON,'2025-12-10 16:33:23
NODE_3,220,0.414,90.8,17.544,1,50,ON,'2025-12-10 16:33:33
NODE_3,219.9,0.414,90.7,17.544,1,50,ON,'2025-12-10 16:33:44
NODE_3,219.7,0.413,90.5,17.544,1,50,ON,'2025-12-10 16:33:54
NODE_3,219.9,0.414,90.7,17.545,1,50,ON,'2025-12-10 16:34:05
NODE_3,220.6,0.415,91.3,17.545,1,50,ON,'2025-12-10 16:34:15
NODE_3,219.8,0.414,90.6,17.545,1,50,ON,'2025-12-10 16:34:25
NODE_3,220.1,0.414,90.9,17.546,1,50,ON,'2025-12-10 16:34:35
NODE_3,220.6,0.415,91.2,17.546,1,50,ON,'2025-12-10 16:34:47
NODE_3,220,0.414,90.8,17.546,1,50,ON,'2025-12-10 16:35:02
NODE_3,220.1,0.414,90.8,17.547,1,50,ON,'2025-12-10 16:35:12
NODE_3,220,0.414,90.8,17.547,1,49.9,ON,'2025-12-10 16:35:24
NODE_3,219.9,0.414,90.7,17.547,1,50,ON,'2025-12-10 16:35:34
NODE_3,219.6,0.413,90.4,17.547,1,50,ON,'2025-12-10 16:35:46
NODE_3,219.6,0.413,90.4,17.548,1,50,ON,'2025-12-10 16:35:57
NODE_3,219.6,0.413,90.4,17.548,1,49.9,ON,'2025-12-10 16:36:07
NODE_3,219.9,0.413,90.6,17.548,1,50,ON,'2025-12-10 16:36:17
NODE_3,220.4,0.415,91.1,17.549,1,49.9,ON,'2025-12-10 16:36:33
NODE_3,219.2,0.412,90.1,17.549,1,49.9,ON,'2025-12-10 16:36:44
NODE_3,220.4,0.415,91.1,17.549,1,49.9,ON,'2025-12-10 16:36:55
NODE_3,218.7,0.411,89.6,17.549,1,49.9,ON,'2025-12-10 16:37:05
NODE_3,219.5,0.412,90.2,17.55,1,49.9,ON,'2025-12-10 16:37:15
NODE_3,219.6,0.413,90.3,17.55,1,49.9,ON,'2025-12-10 16:37:29
NODE_3,219.2,0.412,90.1,17.55,1,49.9,ON,'2025-12-10 16:37:40
NODE_3,219.3,0.412,90.1,17.55,1,49.9,ON,'2025-12-10 16:37:50
NODE_3,218.3,0.41,89.3,17.551,1,49.9,ON,'2025-12-10 16:38:00
NODE_3,218.2,0.41,89.2,17.551,1,49.8,ON,'2025-12-10 16:38:10
NODE_3,218.7,0.411,89.5,17.551,1,49.9,ON,'2025-12-10 16:38:20
NODE_3,218.5,0.411,89.5,17.552,1,49.9,ON,'2025-12-10 16:38:33
NODE_3,217.4,0.408,88.5,17.552,1,49.9,ON,'2025-12-10 16:39:05
NODE_3,217.6,0.409,88.7,17.552,1,49.9,ON,'2025-12-10 16:39:15
NODE_3,218.3,0.41,89.3,17.553,1,49.9,ON,'2025-12-10 16:39:26
NODE_3,218.5,0.41,89.4,17.553,1,49.9,ON,'2025-12-10 16:39:36
NODE_3,218.7,0.411,89.6,17.553,1,49.9,ON,'2025-12-10 16:39:46
NODE_3,218.2,0.41,89.2,17.554,1,49.9,ON,'2025-12-10 16:39:56
NODE_3,217.8,0.409,88.9,17.554,1,49.9,ON,'2025-12-10 16:40:07
NODE_3,217.9,0.409,88.9,17.554,1,49.9,ON,'2025-12-10 16:40:17
NODE_3,217.8,0.41,88.9,17.554,1,49.9,ON,'2025-12-10 16:40:27
NODE_3,217.6,0.409,88.7,17.555,1,49.9,ON,'2025-12-10 16:40:37
NODE_3,216.8,0.407,87.9,17.555,1,49.9,ON,'2025-12-10 16:40:47
NODE_3,216.8,0.407,88,17.555,1,49.9,ON,'2025-12-10 16:40:57
NODE_3,217.3,0.409,88.6,17.555,1,49.9,ON,'2025-12-10 16:41:08
NODE_3,217.7,0.409,88.7,17.556,1,49.9,ON,'2025-12-10 16:41:18
NODE_3,217.7,0.409,88.8,17.556,1,49.8,ON,'2025-12-10 16:41:28
NODE_3,217.5,0.409,88.6,17.556,1,49.9,ON,'2025-12-10 16:41:38
NODE_3,217.7,0.409,88.8,17.556,1,49.9,ON,'2025-12-10 16:41:48
NODE_3,217.6,0.409,88.8,17.557,1,49.9,ON,'2025-12-10 16:41:58
NODE_3,217.8,0.409,88.8,17.557,1,49.9,ON,'2025-12-10 16:42:08
NODE_3,217.7,0.409,88.8,17.557,1,49.9,ON,'2025-12-10 16:42:18
NODE_3,217.3,0.408,88.5,17.557,1,49.9,ON,'2025-12-10 16:42:28
NODE_3,217.6,0.409,88.7,17.558,1,49.9,ON,'2025-12-10 16:42:39
NODE_3,217.7,0.409,88.8,17.558,1,49.9,ON,'2025-12-10 16:42:49
NODE_3,217.5,0.409,88.7,17.558,1,49.9,ON,'2025-12-10 16:42:59
NODE_3,217.4,0.409,88.6,17.558,1,49.8,ON,'2025-12-10 16:43:10
NODE_3,217.3,0.409,88.5,17.559,1,49.9,ON,'2025-12-10 16:43:20
NODE_3,216.5,0.406,87.7,17.559,1,49.9,ON,'2025-12-10 16:43:30
NODE_3,216,0.406,87.4,17.559,1,49.8,ON,'2025-12-10 16:43:40
NODE_3,217.2,0.408,88.4,17.559,1,49.8,ON,'2025-12-10 16:43:51
NODE_3,216.9,0.408,88.2,17.56,1,49.9,ON,'2025-12-10 16:44:01
NODE_3,216.5,0.406,87.8,17.56,1,49.9,ON,'2025-12-10 16:44:11
NODE_3,216.7,0.407,88,17.56,1,49.9,ON,'2025-12-10 16:44:21
NODE_3,217,0.408,88.3,17.56,1,49.9,ON,'2025-12-10 16:44:31
NODE_3,217.6,0.06,13.5,17.56,1,49.9,ON,'2025-12-10 16:44:42
NODE_3,217.5,0,0,17.56,0,49.9,ON,'2025-12-10 16:44:52
NODE_3,216.5,0,0,17.56,0,49.9,ON,'2025-12-10 16:45:02
NODE_3,217.8,0,0,17.56,0,49.9,ON,'2025-12-10 16:45:12
NODE_3,216.9,0.152,5.8,17.56,0.18,49.9,ON,'2025-12-10 16:45:22
NODE_3,216.4,0.353,40.3,17.561,0.53,50,ON,'2025-12-10 16:45:52
NODE_3,216.9,0.352,40,17.561,0.52,50,ON,'2025-12-10 16:46:02
NODE_3,218.1,0.349,37.7,17.561,0.5,50,ON,'2025-12-10 16:46:12
NODE_3,217.4,0.341,38.4,17.561,0.52,50,ON,'2025-12-10 16:46:22
NODE_3,216.6,0.378,42.9,17.561,0.52,50,ON,'2025-12-10 16:46:33
NODE_3,217.6,0.419,50.9,17.562,0.56,50,ON,'2025-12-10 16:46:44
NODE_3,217.7,0.366,41.3,17.562,0.52,50,ON,'2025-12-10 16:46:54
NODE_3,218,0.408,47.1,17.562,0.53,50,ON,'2025-12-10 16:47:25
NODE_3,217.9,0.425,51.1,17.562,0.55,50,ON,'2025-12-10 16:47:36
NODE_3,217.9,0.383,42.9,17.562,0.51,50,ON,'2025-12-10 16:47:47
NODE_3,217.3,0.367,41,17.562,0.51,50,ON,'2025-12-10 16:47:58
NODE_3,217.5,0.445,54.8,17.562,0.57,50,ON,'2025-12-10 16:48:08
NODE_3,217.5,0.394,47.7,17.563,0.56,50,ON,'2025-12-10 16:48:20
NODE_3,216.3,0.362,41.6,17.563,0.53,49.9,ON,'2025-12-10 16:48:30
NODE_3,216.3,0.369,41.6,17.563,0.52,50,ON,'2025-12-10 16:48:41
NODE_3,217,0.362,41.2,17.563,0.52,49.9,ON,'2025-12-10 16:48:51
NODE_3,216.5,0.42,49.4,17.563,0.54,50,ON,'2025-12-10 16:49:01
NODE_3,216.4,0.378,43.1,17.563,0.53,49.9,ON,'2025-12-10 16:49:11
NODE_3,216.4,0.364,41.3,17.563,0.52,49.9,ON,'2025-12-10 16:49:21
NODE_3,216.4,0.38,44.8,17.563,0.54,49.9,ON,'2025-12-10 16:49:31
NODE_3,216.1,0.384,44.7,17.563,0.54,49.9,ON,'2025-12-10 16:49:41
NODE_3,216.6,0.373,41.6,17.564,0.51,49.9,ON,'2025-12-10 16:49:51
NODE_3,215.8,0.367,40.2,17.564,0.51,49.9,ON,'2025-12-10 16:50:02
NODE_3,216.7,0.367,40.2,17.564,0.51,49.9,ON,'2025-12-10 16:50:12
NODE_3,215.2,0.374,40.9,17.564,0.51,49.9,ON,'2025-12-10 16:50:22
NODE_3,216.7,0.389,43.9,17.564,0.52,49.9,ON,'2025-12-10 16:50:32
NODE_3,215.1,0.377,42.6,17.564,0.53,49.9,ON,'2025-12-10 16:50:42
